Waterbody,StationDesc,Storet,DateCollected,County,Smplid,AlgalGroup,Genus,Species,Cell Density,Unit Density,Biovolume,Lat,Long
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cyanobacteria,Aphanocapsa,delicatissima,6058,124,0,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cyanobacteria,Aphanothece,saxicola,498,41,1,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Bacillariophyceae,Aulacoseira,spp.,6763,2116,1353,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cyanobacteria,Chroococcus,spp.,3444,664,2,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Prymnesiophyceae,Chrysochromulina,spp.,166,166,87,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chlorophyta,Cosmarium,spp.,83,83,21,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cryptophyta,Cryptomonas,spp.,83,83,108,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cyanobacteria,Cylindrospermopsis,raciborskii,2905,415,20,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Bacillariophyceae,Cylindrotheca,closterium,41,41,0,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Pyrrhophyta,Karlodinium,veneficum,41,41,6,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cryptophyta,Komma,caudata,373,373,37,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Bacillariophyceae,Navicula,spp.,41,41,8,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chrysophyceae,Paulinella,ovalis,41,41,0,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cyanobacteria,Planktolyngbya,undulata,49211,4315,49,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cyanobacteria,Polycystis,firma,5394,249,1,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Cyanobacteria,Pseudanabaena,spp.,24564,2116,246,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chrysophyceae,Pseudopedinella,pyriforme,41,41,4,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chlorophyta,Scenedesmus,acuminatus,166,41,9,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chlorophyta,Scenedesmus,quadricauda,249,124,12,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chlorophyta,Scenedesmus,bijuga,871,373,44,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Pyrrhophyta,Scrippsiella,trochoidea,249,249,172,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Bacillariophyceae,Synedra,spp.,373,373,30,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chrysophyceae,Synura,spp.,249,124,100,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chlorophyta,Tetraedron,spp.,41,41,2,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Chlorophyta,Tetraedron,trigonum,41,41,2,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Euglenophyta,Trachelomonas,spp.,373,373,858,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,07/17/19,CHOWAN,13276-2019,Bacillariophyceae,Undetermined centric,spp.,2033,2033,285,36.05358,-76.68409
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cyanobacteria,Anabaena,planctonica,1525,109,152,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chlorophyta,Ankistrodesmus,falcatus,218,218,7,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cyanobacteria,Aphanizomenon,spp.,944,36,13,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cyanobacteria,Aphanothece,saxicola,290,36,1,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Bacillariophyceae,Aulacoseira,spp.,2033,109,407,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cyanobacteria,Chroococcus,spp.,436,73,0,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Prymnesiophyceae,Chrysochromulina,spp.,109,109,57,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chlorophyta,Crucigenia,fenestrata,871,218,56,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cyanobacteria,Cylindrospermopsis,raciborskii,2287,327,16,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chrysophyceae,Dinobryon,spp.,617,617,46,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Euglenophyta,Euglena,spp.,109,109,283,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chlorophyta,Kirchneriella,species,73,36,1,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cryptophyta,Komma,caudata,218,218,22,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chrysophyceae,Mallomonas,caudata,73,73,64,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cyanobacteria,Microcystis,aeruginosa,318158,1561,9545,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Euglenophyta,Phacus,spp.,36,36,43,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cyanobacteria,Polycystis,firma,2541,145,0,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Cyanobacteria,Pseudanabaena,spp.,5664,399,57,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chlorophyta,Scenedesmus,quadricauda,145,36,7,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chlorophyta,Scenedesmus,bijuga,654,254,33,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chlorophyta,Scenedesmus,bicaudatus,145,36,7,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chlorophyta,Spermatozoopsis,exultans,145,145,1,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Chlorophyta,Tetraedron,trigonum,36,36,1,36.22470,-76.70680
Chowan River,Chowan Riv at Shawnee Trail Canal on Arrowhead Bch,,07/23/19,CHOWAN,13094-2019,Euglenophyta,Trachelomonas,spp.,654,654,1504,36.22470,-76.70680
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cyanobacteria,Anabaena,spiroides,2324,58,151,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cyanobacteria,Aphanizomenon,spp.,813,58,11,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Bacillariophyceae,Aulacoseira,spp.,1568,523,314,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cyanobacteria,Chroococcus,spp.,1162,174,1,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cryptophyta,Cryptomonas,spp.,58,58,75,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Euglenophyta,Eutreptia,spp.,174,174,258,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cryptophyta,Komma,caudata,174,174,17,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cyanobacteria,Merismopedia,punctata,2324,58,5,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cyanobacteria,Microcystis,aeruginosa,9081676,6100,272450,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Bacillariophyceae,Navicula,spp.,58,58,12,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Pyrrhophyta,Peridinium,spp.,232,232,1044,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cyanobacteria,Polycystis,firma,3485,58,0,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Cyanobacteria,Pseudanabaena,spp.,1162,290,12,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Chlorophyta,Scenedesmus,bicaudatus,232,58,12,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Chlorophyta,Scenedesmus,bijuga,232,116,12,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Euglenophyta,Trachelomonas,spp.,1162,1162,2673,36.13860,-76.75150
Chowan River,Chowan Riv at Leary Landing,,07/29/19,BERTIE,13095-2019,Bacillariophyceae,Undetermined centric,spp.,290,290,41,36.13860,-76.75150
Chowan River,Chowan Riv at Indian Crk,,08/13/19,CHOWAN,13110-2019,Bacillariophyceae,Aulacoseira,spp.,726,121,145,36.23492,-76.69457
Chowan River,Chowan Riv at Indian Crk,,08/13/19,CHOWAN,13110-2019,Cyanobacteria,Microcystis,aeruginosa,18564955,12102,556949,36.23492,-76.69457
Chowan River,Chowan Riv at Indian Crk,,08/13/19,CHOWAN,13110-2019,Cyanobacteria,Pseudanabaena,spp.,4357,1210,44,36.23492,-76.69457
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Anabaena,planctonica,1975,116,198,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Anabaena,spiroides,697,116,45,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Aphanizomenon,spp.,3602,174,50,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Aphanocapsa,delicatissima,1743,116,0,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Bacillariophyceae,Aulacoseira,spp.,1917,465,383,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Chroococcus,spp.,1220,174,1,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Prymnesiophyceae,Chrysochromulina,spp.,116,116,61,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Coelastrum,spp.,1510,174,45,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Cosmarium,spp.,58,58,14,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cryptophyta,Cryptomonas,spp.,116,116,151,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Cylindrospermopsis,raciborskii,20332,2905,142,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Dictyosphaerium,pulchellum,232,58,7,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chrysophyceae,Dinobryon,spp.,116,116,9,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Euglenophyta,Euglena,spp.,58,58,151,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Pyrrhophyta,Karlodinium,veneficum,58,58,8,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Kirchneriella,species,813,58,8,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Planktolyngbya,undulata,54315,4938,54,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Polycystis,firma,4647,116,0,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Cyanobacteria,Pseudanabaena,spp.,46938,5867,469,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Bacillariophyceae,Rhizosolenia,spp.,58,58,6,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Scenedesmus,quadricauda,116,58,6,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Scenedesmus,bijuga,1046,465,52,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Scenedesmus,bicaudatus,232,58,12,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Pyrrhophyta,Scrippsiella,trochoidea,58,58,40,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Spermatozoopsis,exultans,116,116,1,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Bacillariophyceae,Synedra,spp.,349,349,28,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Tetraedron,minimum,58,58,2,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Chlorophyta,Tetrastrum,heterocanthum,465,116,2,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Euglenophyta,Trachelomonas,spp.,349,349,803,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13277-2019,Bacillariophyceae,Undetermined centric,spp.,232,232,32,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cyanobacteria,Anabaena,planctonica,3873,182,387,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Chlorophyta,Ankistrodesmus,fusiformis,121,61,11,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cyanobacteria,Aphanizomenon,spp.,1694,121,24,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cyanobacteria,Aphanocapsa,delicatissima,1210,61,0,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Bacillariophyceae,Aulacoseira,spp.,1089,303,218,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cyanobacteria,Chroococcus,spp.,15854,484,8,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cryptophyta,Cryptomonas,spp.,182,182,237,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cyanobacteria,Cylindrospermopsis,raciborskii,17367,2481,122,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Chlorophyta,Dictyosphaerium,pulchellum,1452,121,44,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Euglenophyta,Euglena,spp.,61,61,159,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Chlorophyta,Kirchneriella,species,1452,182,15,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cyanobacteria,Microcystis,aeruginosa,847,121,25,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cyanobacteria,Planktolyngbya,undulata,61601,6414,62,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Cyanobacteria,Pseudanabaena,spp.,29590,3147,296,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Bacillariophyceae,Rhizosolenia,spp.,121,121,12,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Chlorophyta,Scenedesmus,bicaudatus,121,61,6,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Chlorophyta,Scenedesmus,bijuga,363,182,18,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Pyrrhophyta,Scrippsiella,trochoidea,61,61,42,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Bacillariophyceae,Synedra,spp.,182,182,15,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Chlorophyta,Tetraedron,trigonum,61,61,2,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Euglenophyta,Trachelomonas,spp.,182,182,419,36.05358,-76.68409
Chowan River,Chowan Riv at Edenton Bridge,D9490010,08/13/19,CHOWAN,13278-2019,Bacillariophyceae,Undetermined centric,spp.,1150,1150,161,36.05358,-76.68409
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/29/19,Chowan,13153-2019,Bacillariophyceae,Aulacoseira,spp.,799,36,160,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/29/19,Chowan,13153-2019,Chlorophyta,Coelastrum,spp.,145,36,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/29/19,Chowan,13153-2019,Cryptophyta,Cryptomonas,spp.,290,290,377,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/29/19,Chowan,13153-2019,Pyrrhophyta,Prorocentrum,minimum,73,73,34,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/29/19,Chowan,13153-2019,Euglenophyta,Trachelomonas,spp.,218,218,501,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,08/29/19,Chowan,13153-2019,Bacillariophyceae,Undetermined centric,spp.,327,327,46,36.20983,-76.72677
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Anabaena,planctonica,6100,871,610,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Aphanizomenon,spp.,799,73,11,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Aphanocapsa,delicatissima,1452,73,0,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Bacillariophyceae,Aulacoseira,spp.,908,290,182,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Chroococcus,spp.,1888,290,1,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Prymnesiophyceae,Chrysochromulina,spp.,581,581,304,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Chlorophyta,Crucigenia,crucifera,654,36,13,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cryptophyta,Cryptomonas,spp.,182,182,237,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Cylindrospermopsis,raciborskii,2033,290,14,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Raphidophyceae,Heterosigma ,species,182,182,16,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Chlorophyta,Kirchneriella,species,73,36,1,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Microcystis,aeruginosa,26214,363,786,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Chlorophyta,Pediastrum,spp.,145,36,19,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Planktolyngbya,undulata,436,36,0,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Polycystis,firma,9440,218,1,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Cyanobacteria,Pseudanabaena,spp.,8932,799,89,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Chlorophyta,Scenedesmus,quadricauda,145,36,7,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Chlorophyta,Scenedesmus,bijuga,508,218,25,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Chlorophyta,Selenastrum,spp.,36,36,0,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Chlorophyta,Spermatozoopsis,exultans,36,36,0,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Bacillariophyceae,Synedra,spp.,73,73,6,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Euglenophyta,Trachelomonas,spp.,109,109,251,36.14322,-76.75385
Chowan River,Bess Landing on Chowan Riv,,09/12/19,BERTIE,13135-2019,Bacillariophyceae,Undetermined centric,spp.,218,218,31,36.14322,-76.75385
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Cyanobacteria,Anabaena,spiroides,182,36,12,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Chlorophyta,Ankistrodesmus,falcatus,36,36,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Bacillariophyceae,Aulacoseira,spp.,2796,436,559,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Cyanobacteria,Chroococcus,spp.,2469,73,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Chlorophyta,Coelastrum,spp.,73,36,2,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Cyanobacteria,Cylindrospermopsis,raciborskii,762,109,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Bacillariophyceae,Cylindrotheca,closterium,36,36,0,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Chlorophyta,Dictyosphaerium,pulchellum,145,36,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Cryptophyta,Komma,caudata,36,36,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Cyanobacteria,Microcystis,aeruginosa,8714,36,261,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,09/25/19,Chowan,13154-2019,Bacillariophyceae,Navicula,spp.,73,73,15,36.20983,-76.72677
